,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
391,Georgia,Banks County,19352,18375.0,18404.0,5.151054118669851,12442.0,11952.0,12279.0,1.3274696636534022,R,N
392,Georgia,Barrow County,85588,74979.0,69670.0,22.847710635854735,56372.0,49399.0,46470.0,21.308370992037883,R,N
393,Georgia,Bartow County,109426,102063.0,100041.0,9.381153726971947,72257.0,67679.0,67228.0,7.480514071517819,S,N
394,Georgia,Ben Hill County,16614,17368.0,17649.0,-5.864354920958692,10197.0,10919.0,11261.0,-9.448539206109585,R,A
395,Georgia,Berrien County,19408,18989.0,19361.0,0.24275605598884642,12225.0,12009.0,12573.0,-2.767835838701982,R,N
396,Georgia,Bibb County,152737,154068.0,155878.0,-2.015037401044406,97076.0,99545.0,102900.0,-5.659863945578236,S,A
397,Georgia,Bleckley County,12955,12710.0,13033.0,-0.5984807795595848,8563.0,8431.0,8725.0,-1.856733524355303,R,N
398,Georgia,Brantley County,19202,18443.0,18462.0,4.008233127505156,12178.0,12002.0,12149.0,0.23870277389086425,R,N
399,Georgia,Brooks County,15357,15672.0,16246.0,-5.472116213221712,9468.0,9885.0,10572.0,-10.442678774120317,R,A
400,Georgia,Bryan County,40755,34860.0,30404.0,34.04486251808974,26330.0,22847.0,20338.0,29.462090667715614,R,N
401,Georgia,Bulloch County,80839,73137.0,70560.0,14.567743764172336,57777.0,52963.0,52076.0,10.947461402565484,R,N
402,Georgia,Burke County,22648,22644.0,23343.0,-2.9773379599880023,14095.0,14493.0,15153.0,-6.982115752656237,R,A
403,Georgia,Butts County,25426,23516.0,23776.0,6.939771197846567,17043.0,15893.0,16337.0,4.321478851686367,R,N
404,Georgia,Calhoun County,6231,6536.0,6697.0,-6.95833955502464,4366.0,4648.0,4776.0,-8.584589614740368,R,A
405,Georgia,Camden County,55388,52549.0,50680.0,9.28966061562746,35987.0,35568.0,34718.0,3.6551644679993167,R,N
406,Georgia,Candler County,10985,10864.0,11013.0,-0.254244983201668,6623.0,6703.0,7054.0,-6.110008505812303,R,A
407,Georgia,Carroll County,121633,114501.0,110655.0,9.920925398761927,80812.0,77078.0,75065.0,7.656031439419175,S,N
408,Georgia,Catoosa County,67996,65841.0,64073.0,6.122703790988404,43170.0,42366.0,42218.0,2.254962338339106,R,N
409,Georgia,Charlton County,13430,13238.0,12850.0,4.513618677042808,9239.0,9316.0,9141.0,1.0720927688436799,R,N
